Label,New Jersey!!Estimate,New Jersey!!Margin of Error,"Newark city, New Jersey!!Estimate","Newark city, New Jersey!!Margin of Error"
Total:,"2,054,413","±10,703","21,947",±838
"    Less than $10,000","19,682",±804,736,±188
"    $10,000 to $14,999","3,815",±362,112,±82
"    $15,000 to $19,999","4,711",±379,80,±57
"    $20,000 to $24,999","4,680",±467,101,±63
"    $25,000 to $29,999","5,206",±553,119,±70
"    $30,000 to $34,999","4,622",±384,56,±48
"    $35,000 to $39,999","3,900",±441,22,±25
"    $40,000 to $49,999","8,071",±558,72,±43
"    $50,000 to $59,999","8,579",±630,133,±93
"    $60,000 to $69,999","9,676",±648,70,±48
"    $70,000 to $79,999","12,616",±749,110,±56
"    $80,000 to $89,999","15,702",±758,260,±102
"    $90,000 to $99,999","14,627",±861,168,±71
"    $100,000 to $124,999","54,770","±1,344","1,221",±216
"    $125,000 to $149,999","63,957","±1,698","1,388",±262
"    $150,000 to $174,999","107,464","±1,947","2,493",±294
"    $175,000 to $199,999","95,092","±1,930","1,683",±265
"    $200,000 to $249,999","226,344","±2,734","3,407",±327
"    $250,000 to $299,999","244,741","±3,230","3,566",±379
"    $300,000 to $399,999","425,910","±4,718","3,722",±426
"    $400,000 to $499,999","259,067","±3,108","1,387",±260
"    $500,000 to $749,999","291,693","±3,491",741,±200
"    $750,000 to $999,999","98,184","±2,140",216,±87
"    $1,000,000 to $1,499,999","42,277",±997,39,±34
"    $1,500,000 to $1,999,999","12,968",±653,0,±28
"    $2,000,000 or more","16,059",±746,45,±43
