Murders,Murder Per Pop,Rapes,Rapes per Pop,Robberies,Robbery per Pop,Assaults,Assaults per Pop,Burglaries,Burglaries per Pop,larcenies,Larcenies per Pop,AutoTheft,AutoTheft per Pop.,Arsons,Arsons per Pop,Violent Crime,Non-Violent 
96,36.89,257,98.76,5892,2264.13,3977,1528.25,6879,2643.41,10420,4004.12,10993,4224.31,184,70.71,3928.03,10942.54
,,,,,,,,,,,,,,,,,
Crimes,Totals,,,,,,,,,,,,,,,,
Murders,96,,,,,,,,,,,,,,,,
Murder Per Pop,36.89,,,,,,,,,,,,,,,,
Rapes,257,,,,,,,,,,,,,,,,
Rapes per Pop,98.76,,,,,,,,,,,,,,,,
Robberies,5892,,,,,,,,,,,,,,,,
Robbery per Pop,2264.13,,,,,,,,,,,,,,,,
Assaults,3977,,,,,,,,,,,,,,,,
Assaults per Pop,1528.25,,,,,,,,,,,,,,,,
Burglaries,6879,,,,,,,,,,,,,,,,
Burglaries per Pop,2643.41,,,,,,,,,,,,,,,,
larcenies,10420,,,,,,,,,,,,,,,,
Larcenies per Pop,4004.12,,,,,,,,,,,,,,,,
AutoTheft,10993,,,,,,,,,,,,,,,,
AutoTheft per Pop.,4224.31,,,,,,,,,,,,,,,,
Arsons,184,,,,,,,,,,,,,,,,
Arsons per Pop,70.71,,,,,,,,,,,,,,,,
Violent Crime,3928.03,,,,,,,,,,,,,,,,
Non-Violent ,10942.54,,,,,,,,,,,,,,,,
