Zip Code,Latitude,Longitude,Population,Poverty Count,Poverty Rate
07017,40.765034,-74.191154,36471.0,5858.0,16.06207671848866
07102,40.734715,-74.173546,13505.0,3935.0,29.137356534616806
07103,40.738434,-74.20323,32881.0,10983.0,33.40226878744573
07104,40.763977,-74.170395,51075.0,12676.0,24.818404307391113
07105,40.728134,-74.15335,52008.0,11304.0,21.735117674203966
07106,40.74497,-74.219864,33851.0,7827.0,23.121916634663673
07107,40.75418,-74.19209,37684.0,10950.0,29.057424901815047
07108,40.724895,-74.205986,23118.0,8457.0,36.581884246042094
07112,40.712593,-74.19975,25016.0,5280.0,21.10649184521906
07114,40.72138,-74.18342,12024.0,2456.0,20.42581503659348
